ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Gender,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Reached.on.Time_Y.N
28,5,-1.4081993653114504,162,3,1,1.0877514511160729,1435,False,True,False,False,False,False,False,True,False,False,True,1
29,2,0.006689172101598107,234,4,1,1.8899833648589817,3134,False,False,True,False,False,False,False,True,False,True,False,1
30,5,0.7141334408081224,183,2,0,1.3963021871710377,3819,False,False,False,False,True,False,False,True,False,True,False,1
31,3,0.7141334408081224,266,2,0,1.5197224815930237,2741,False,False,False,True,False,False,False,True,False,False,True,1
32,5,0.006689172101598107,257,2,0,2.9390558674458624,3341,False,False,False,False,True,False,False,True,False,True,False,1
33,3,-1.4081993653114504,223,3,0,0.5323601262171361,3795,True,False,False,False,False,False,False,True,False,True,False,1
34,4,-0.7007550966049262,234,3,1,-0.5784225235807375,3261,False,True,False,False,False,False,False,True,False,False,True,1
35,4,-0.7007550966049262,227,4,0,0.5323601262171361,2460,False,False,True,False,False,False,False,True,False,False,True,1
36,5,0.7141334408081224,149,3,0,1.8899833648589817,1811,False,False,False,False,True,False,False,True,False,False,True,1
37,3,1.4215777095146467,137,4,0,3.0007660146568553,1477,False,False,False,True,False,False,False,True,True,False,False,1
38,2,0.7141334408081224,181,6,0,0.16209924295117825,3605,False,False,False,False,True,False,False,True,False,False,True,1
39,5,-1.4081993653114504,215,4,0,2.6305051313908976,3905,True,False,False,False,False,False,False,True,False,True,False,1
40,4,-0.7007550966049262,269,5,0,1.9516935120699745,2383,False,True,False,False,False,False,False,True,False,True,False,1
41,5,-1.4081993653114504,227,2,1,0.10038909574018526,3798,False,False,True,False,False,False,False,True,False,True,False,1
42,5,1.4215777095146467,139,4,1,2.9390558674458624,1265,False,False,False,False,True,False,False,True,False,False,True,1
43,3,1.4215777095146467,137,2,1,1.5197224815930237,1647,False,False,False,True,False,False,False,True,False,False,True,1
44,3,-1.4081993653114504,174,2,1,1.8899833648589817,1556,False,False,False,False,True,False,False,True,False,True,False,1
45,3,-1.4081993653114504,151,2,1,0.964331156694087,1328,True,False,False,False,False,False,False,True,False,True,False,1
46,5,-1.4081993653114504,210,3,0,-0.2698717875257726,2944,False,True,False,False,False,False,False,True,False,True,False,1
47,3,0.7141334408081224,169,4,0,1.149461598327066,1245,False,False,True,False,False,False,False,True,False,False,True,1
48,5,-1.4081993653114504,160,2,1,1.149461598327066,1576,False,False,False,False,True,False,False,True,False,True,False,1
49,5,0.7141334408081224,190,2,1,-0.2698717875257726,3753,False,False,False,True,False,False,False,True,False,False,True,1
50,5,0.006689172101598107,216,3,0,1.6431427760150097,2146,False,False,False,False,True,False,False,True,False,True,False,1
51,4,-1.4081993653114504,183,3,1,1.4580123343820308,2042,True,False,False,False,False,False,False,True,False,True,False,1
52,4,0.7141334408081224,141,3,1,0.5323601262171361,1735,False,True,False,False,False,False,False,True,False,True,False,1
53,4,0.006689172101598107,165,3,0,1.8899833648589817,1320,False,False,True,False,False,False,False,True,False,True,False,1
54,2,-1.4081993653114504,170,3,1,1.7048529232260028,1128,False,False,False,False,True,False,False,True,False,True,False,1
55,4,0.006689172101598107,203,3,1,-0.08474134589279368,3539,False,False,False,True,False,False,False,True,True,False,False,1
56,2,1.4215777095146467,246,5,1,2.0134036592809674,2437,False,False,False,False,True,False,False,True,False,True,False,1
57,3,0.006689172101598107,238,3,0,2.9390558674458624,3096,True,False,False,False,False,False,False,True,False,True,False,1
58,3,0.006689172101598107,193,3,0,0.964331156694087,3453,False,True,False,False,False,False,False,True,False,False,True,1
59,5,1.4215777095146467,141,3,1,1.7048529232260028,1367,False,False,True,False,False,False,False,True,True,False,False,1
60,4,-1.4081993653114504,150,3,0,0.22380939016217122,1923,False,False,False,False,True,False,False,True,True,False,False,1
61,3,-1.4081993653114504,221,3,0,3.1241863090788415,2794,False,False,False,True,False,False,False,True,False,True,False,1
62,3,0.006689172101598107,179,3,1,2.3836645425469256,1158,False,False,False,False,True,False,False,True,False,False,True,1
63,5,-1.4081993653114504,105,6,1,3.0007660146568553,1292,True,False,False,False,False,False,False,True,False,False,True,1
64,3,-1.4081993653114504,177,3,1,2.9390558674458624,1880,False,True,False,False,False,False,False,True,False,False,True,1
65,4,1.4215777095146467,261,2,1,2.1985341009139465,3045,False,False,True,False,False,False,False,True,True,False,False,1
66,3,-0.7007550966049262,202,3,1,2.1985341009139465,2881,False,False,False,False,True,False,False,True,False,True,False,1
67,3,-0.7007550966049262,109,3,0,0.10038909574018526,1710,False,False,False,True,False,False,False,True,False,False,True,1
68,3,0.006689172101598107,158,3,0,-0.4550022291587516,1878,False,False,False,False,True,False,False,True,False,True,False,1
69,4,-0.7007550966049262,231,4,0,-0.4550022291587516,2512,True,False,False,False,False,False,False,True,False,False,True,1
70,3,1.4215777095146467,206,3,1,1.5814326288040168,2929,False,True,False,False,False,False,False,True,False,False,True,1
71,5,-1.4081993653114504,187,4,1,0.03867894852919228,3849,False,False,True,False,False,False,False,True,True,False,False,1
72,5,1.4215777095146467,230,2,0,-0.7018428180027235,2229,False,False,False,False,True,False,False,True,False,True,False,1
73,5,1.4215777095146467,232,3,0,1.2111717455380588,2998,False,False,False,True,False,False,False,True,False,False,True,1
74,4,1.4215777095146467,215,3,0,0.47064997900614314,3984,False,False,False,False,True,False,False,True,False,False,True,1
75,6,-1.4081993653114504,238,6,0,-0.023031198681800702,2442,True,False,False,False,False,False,False,True,False,True,False,1
76,4,-1.4081993653114504,266,3,0,0.5940702734281291,3775,False,True,False,False,False,False,False,True,False,True,False,1
77,2,0.006689172101598107,158,2,0,1.3963021871710377,1788,False,False,True,False,False,False,False,True,False,False,True,1
78,3,0.006689172101598107,113,3,0,1.8282732176479888,1518,False,False,False,False,True,False,False,True,False,True,False,1
79,3,0.7141334408081224,223,3,1,0.2855195373731642,3959,False,False,False,True,False,False,False,True,False,True,False,1
80,3,1.4215777095146467,257,2,0,2.6305051313908976,3711,False,False,False,False,True,False,False,True,False,False,True,1
81,3,0.7141334408081224,180,2,0,2.1985341009139465,1942,True,False,False,False,False,False,False,True,False,False,True,1
82,2,1.4215777095146467,132,3,1,0.2855195373731642,1759,False,True,False,False,False,False,False,True,False,True,False,1
83,4,0.7141334408081224,217,3,0,0.7792007150611081,2875,False,False,True,False,False,False,False,True,True,False,False,1
84,5,1.4215777095146467,162,3,0,1.0877514511160729,1364,False,False,False,False,True,False,False,True,True,False,False,1
85,4,1.4215777095146467,197,2,0,1.6431427760150097,2710,False,False,False,True,False,False,False,True,False,False,True,1
86,3,0.7141334408081224,197,3,1,-0.023031198681800702,2148,False,False,False,False,True,False,False,True,False,False,True,1
87,4,-1.4081993653114504,185,2,1,1.8899833648589817,2910,True,False,False,False,False,False,False,True,False,True,False,1
88,6,-0.7007550966049262,278,3,0,-0.6401326707917305,2974,False,True,False,False,False,False,False,True,False,False,True,1
89,3,0.006689172101598107,229,3,1,2.1985341009139465,2339,False,False,True,False,False,False,False,True,False,True,False,1
90,4,-1.4081993653114504,186,4,0,2.6922152786018905,3880,False,False,False,False,True,False,False,True,False,False,True,1
91,5,0.006689172101598107,174,6,0,1.7048529232260028,1085,False,False,False,True,False,False,False,True,True,False,False,1
92,5,1.4215777095146467,286,3,0,0.2855195373731642,3163,False,False,False,False,True,False,False,True,False,True,False,1
93,4,0.7141334408081224,175,2,0,-0.3932920819477586,1188,True,False,False,False,False,False,False,True,False,False,True,1
94,3,0.006689172101598107,219,3,0,0.22380939016217122,3387,False,True,False,False,False,False,False,True,False,False,True,1
95,4,-1.4081993653114504,213,4,0,1.3345920399600448,2343,False,False,True,False,False,False,False,True,True,False,False,1
96,2,0.006689172101598107,235,3,1,2.6922152786018905,2034,False,False,False,False,True,False,False,True,False,True,False,1
97,3,0.006689172101598107,149,2,1,0.2855195373731642,1225,False,False,False,True,False,False,False,True,False,False,True,1
98,4,-1.4081993653114504,271,2,0,-0.3315819347367656,2401,False,False,False,False,True,False,False,True,False,False,True,1
99,3,1.4215777095146467,144,4,1,-0.5167123763697445,1104,True,False,False,False,False,False,False,True,False,False,True,1
100,4,-0.7007550966049262,145,2,1,0.47064997900614314,1617,False,True,False,False,False,False,False,True,False,False,True,1
101,5,0.006689172101598107,143,2,1,2.8156355730238762,1837,False,False,True,False,False,False,False,True,False,False,True,1
102,5,1.4215777095146467,227,4,1,2.4453746897579185,2624,False,False,False,False,True,False,False,True,False,True,False,1
103,2,-1.4081993653114504,213,3,1,0.964331156694087,2732,False,False,False,True,False,False,False,True,False,True,False,1
104,5,-1.4081993653114504,144,4,1,1.4580123343820308,1658,False,False,False,False,True,False,False,True,False,True,False,1
105,3,0.006689172101598107,218,3,1,-0.6401326707917305,2255,True,False,False,False,False,False,False,True,False,True,False,1
106,4,-0.7007550966049262,144,3,1,2.8156355730238762,1588,False,True,False,False,False,False,False,True,False,False,True,1
107,3,-1.4081993653114504,238,3,1,0.22380939016217122,2624,False,False,True,False,False,False,False,True,False,True,False,1
108,4,1.4215777095146467,216,3,1,0.7792007150611081,2053,False,False,False,False,True,False,False,True,True,False,False,1
109,4,1.4215777095146467,238,3,0,2.5687949841799047,3257,False,False,False,True,False,False,False,True,True,False,False,1
110,4,-1.4081993653114504,141,3,1,2.0751138064919608,1250,False,False,False,False,True,False,False,True,False,False,True,1
111,3,-1.4081993653114504,158,2,1,-0.7018428180027235,1284,True,False,False,False,False,False,True,False,False,True,False,1
112,4,-0.7007550966049262,239,3,0,3.1858964562898344,3679,False,True,False,False,False,False,True,False,False,True,False,1
113,4,0.006689172101598107,175,2,1,0.7174905678501151,1816,False,False,True,False,False,False,True,False,False,True,False,1
114,3,-0.7007550966049262,263,3,1,1.7048529232260028,2817,False,False,False,False,True,False,True,False,False,True,False,1
115,3,1.4215777095146467,168,2,1,2.2602442481249394,1616,False,False,False,True,False,False,True,False,True,False,False,1
116,3,0.7141334408081224,176,3,1,1.3963021871710377,1779,False,False,False,False,True,False,True,False,True,False,False,1
117,4,-1.4081993653114504,150,4,1,2.8773457202348696,1024,True,False,False,False,False,False,True,False,True,False,False,1
118,4,0.006689172101598107,265,2,0,1.0877514511160729,2326,False,True,False,False,False,False,True,False,False,False,True,1
119,2,1.4215777095146467,263,3,0,-0.5167123763697445,2947,False,False,True,False,False,False,True,False,False,True,False,1
120,5,-1.4081993653114504,145,3,1,0.4089398317951502,1387,False,False,False,False,True,False,True,False,False,True,False,1
121,4,-0.7007550966049262,183,3,0,1.2111717455380588,2741,False,False,False,True,False,False,True,False,False,True,False,1
122,3,0.006689172101598107,205,3,0,0.3472296845841572,2167,False,False,False,False,True,False,True,False,False,False,True,1
123,4,-0.7007550966049262,160,3,1,3.1241863090788415,1714,True,False,False,False,False,False,True,False,False,True,False,1
124,3,0.006689172101598107,252,2,0,2.1368239537029536,2102,False,True,False,False,False,False,True,False,False,False,True,1
125,5,1.4215777095146467,222,3,1,-0.20816164031477966,2280,False,False,True,False,False,False,True,False,False,True,False,1
126,3,0.006689172101598107,203,2,1,0.7174905678501151,3607,False,False,False,False,True,False,True,False,False,True,False,1
127,4,1.4215777095146467,220,3,1,1.6431427760150097,3516,False,False,False,True,False,False,True,False,False,False,True,1
128,3,0.006689172101598107,147,4,0,2.8773457202348696,1722,False,False,False,False,True,False,True,False,False,True,False,1
129,4,0.7141334408081224,200,4,1,0.16209924295117825,2060,True,False,False,False,False,False,True,False,False,False,True,1
130,4,1.4215777095146467,224,4,1,0.47064997900614314,2026,False,True,False,False,False,False,True,False,False,False,True,1
131,3,1.4215777095146467,179,2,0,0.22380939016217122,1364,False,False,True,False,False,False,True,False,False,True,False,1
132,3,0.7141334408081224,144,3,1,2.2602442481249394,1865,False,False,False,False,True,False,True,False,False,True,False,1
133,5,-0.7007550966049262,247,3,1,0.22380939016217122,3889,False,False,False,True,False,True,False,False,False,True,False,1
134,5,0.7141334408081224,280,6,0,2.3219543953359327,3582,False,False,False,False,True,True,False,False,False,False,True,1
135,3,0.006689172101598107,168,2,0,-0.7635529652137165,1829,True,False,False,False,False,True,False,False,False,False,True,1
136,3,1.4215777095146467,157,3,0,-0.5784225235807375,1889,False,True,False,False,False,True,False,False,False,False,True,1
137,3,0.006689172101598107,189,4,0,2.3219543953359327,2208,False,False,True,False,False,True,False,False,False,False,True,1
138,3,1.4215777095146467,162,2,1,-0.3932920819477586,1739,False,False,False,False,True,True,False,False,False,False,True,1
139,4,-1.4081993653114504,207,5,1,2.1368239537029536,2399,False,False,False,True,False,True,False,False,False,True,False,1
140,5,-1.4081993653114504,237,2,0,-0.20816164031477966,3860,False,False,False,False,True,True,False,False,False,True,False,1
141,4,0.7141334408081224,264,3,1,2.8156355730238762,2020,True,False,False,False,False,True,False,False,True,False,False,1
142,5,0.7141334408081224,149,3,1,2.3219543953359327,1645,False,True,False,False,False,True,False,False,False,True,False,1
143,5,1.4215777095146467,162,3,1,1.7048529232260028,1462,False,False,True,False,False,True,False,False,False,True,False,1
144,2,-1.4081993653114504,205,4,0,3.062476161867848,2156,False,False,False,False,True,True,False,False,False,False,True,1
145,2,-1.4081993653114504,158,3,0,2.3219543953359327,1540,False,False,False,True,False,True,False,False,False,False,True,1
146,2,-0.7007550966049262,248,2,1,2.0134036592809674,3707,False,False,False,False,True,True,False,False,False,True,False,1
147,3,1.4215777095146467,191,3,1,0.5940702734281291,3750,True,False,False,False,False,True,False,False,False,True,False,1
148,4,0.006689172101598107,146,4,0,0.6557804206391221,1844,False,True,False,False,False,True,False,False,False,False,True,1
149,3,0.006689172101598107,135,3,1,2.6305051313908976,1490,False,False,True,False,False,True,False,False,False,True,False,1
150,5,-1.4081993653114504,149,3,1,1.6431427760150097,1062,False,False,False,False,True,True,False,False,False,True,False,1
151,4,0.7141334408081224,220,2,0,-0.3932920819477586,2551,False,False,False,True,False,True,False,False,False,False,True,1
152,5,0.006689172101598107,98,5,1,1.8899833648589817,1269,False,False,False,False,True,True,False,False,False,False,True,1
153,3,0.7141334408081224,97,4,1,1.149461598327066,1238,True,False,False,False,False,True,False,False,False,True,False,1
154,3,0.006689172101598107,183,2,1,2.4453746897579185,3932,False,True,False,False,False,True,False,False,False,True,False,1
155,3,0.006689172101598107,162,3,0,-0.3315819347367656,1869,False,False,True,False,False,False,False,True,False,False,True,1
156,5,-1.4081993653114504,114,4,0,2.0751138064919608,1443,False,False,False,False,True,False,False,True,False,True,False,1
157,6,0.006689172101598107,275,5,1,1.7048529232260028,2491,False,False,False,True,False,False,False,True,False,True,False,1
158,3,-0.7007550966049262,203,2,0,1.5814326288040168,3845,False,False,False,False,True,False,False,True,False,False,True,1
159,5,1.4215777095146467,205,2,1,3.1858964562898344,3671,True,False,False,False,False,False,False,True,True,False,False,1
160,3,0.006689172101598107,149,3,0,3.062476161867848,1946,False,True,False,False,False,False,False,True,False,True,False,1
161,2,-0.7007550966049262,112,4,1,2.6305051313908976,1138,False,False,True,False,False,False,False,True,False,False,True,1
162,3,-1.4081993653114504,207,3,0,2.6305051313908976,3482,False,False,False,False,True,False,False,True,False,False,True,1
163,4,-1.4081993653114504,261,4,0,2.7539254258128834,3427,False,False,False,True,False,False,False,True,False,True,False,1
164,5,-0.7007550966049262,274,3,1,-0.4550022291587516,3375,False,False,False,False,True,False,False,True,False,False,True,1
165,3,1.4215777095146467,141,2,1,2.3836645425469256,1692,True,False,False,False,False,False,False,True,False,True,False,1
166,3,0.006689172101598107,166,4,0,0.22380939016217122,1498,False,True,False,False,False,False,False,True,False,False,True,1
167,5,-0.7007550966049262,141,3,0,1.272881892749052,1020,False,False,True,False,False,False,False,True,True,False,False,1
168,4,1.4215777095146467,152,3,1,1.8282732176479888,1709,False,False,False,False,True,False,False,True,False,True,False,1
169,4,-0.7007550966049262,250,3,0,2.4453746897579185,2478,False,False,False,True,False,False,False,True,False,True,False,1
170,4,0.006689172101598107,161,3,0,0.9026210094830941,1809,False,False,False,False,True,False,False,True,False,False,True,1
171,4,0.006689172101598107,185,3,0,-0.20816164031477966,2263,True,False,False,False,False,False,False,True,False,False,True,1
172,4,0.7141334408081224,176,4,0,2.3836645425469256,1096,False,True,False,False,False,False,False,True,True,False,False,1
173,3,0.7141334408081224,148,3,1,2.6305051313908976,1550,False,False,True,False,False,False,False,True,False,True,False,1
174,3,-0.7007550966049262,270,3,0,3.062476161867848,2751,False,False,False,False,True,False,False,True,False,True,False,1
175,3,0.006689172101598107,242,3,0,2.3219543953359327,3935,False,False,False,True,False,False,False,True,False,True,False,1
176,4,0.7141334408081224,150,2,1,-0.6401326707917305,1285,False,False,False,False,True,False,False,True,False,False,True,1
177,4,1.4215777095146467,192,3,1,0.4089398317951502,3872,True,False,False,False,False,False,False,True,True,False,False,1
178,4,1.4215777095146467,116,3,1,2.5070848369689114,1314,False,True,False,False,False,False,False,True,False,False,True,1
179,3,0.006689172101598107,192,3,0,-0.7018428180027235,3995,False,False,True,False,False,False,False,True,False,False,True,1
180,5,1.4215777095146467,255,4,1,-0.6401326707917305,3440,False,False,False,False,True,False,False,True,False,False,True,1
181,4,-1.4081993653114504,161,7,0,0.2855195373731642,1294,False,False,False,True,False,False,False,True,False,False,True,1
182,4,1.4215777095146467,157,3,1,0.4089398317951502,1487,False,False,False,False,True,False,False,True,False,True,False,1
183,3,-0.7007550966049262,164,10,0,0.9026210094830941,1940,True,False,False,False,False,False,False,True,True,False,False,1
184,3,1.4215777095146467,162,7,0,0.16209924295117825,1052,False,True,False,False,False,False,False,True,False,False,True,1
185,3,0.006689172101598107,146,2,1,2.2602442481249394,1486,False,False,True,False,False,False,False,True,False,True,False,1
186,3,-0.7007550966049262,209,3,1,2.5070848369689114,3001,False,False,False,False,True,False,False,True,False,False,True,1
187,5,0.7141334408081224,134,2,0,2.5687949841799047,1386,False,False,False,True,False,False,False,True,False,False,True,1
188,2,-1.4081993653114504,222,2,1,-0.5167123763697445,3778,False,False,False,False,True,False,False,True,False,False,True,1
189,2,1.4215777095146467,139,3,0,0.8409108622721011,1233,True,False,False,False,False,False,False,True,False,True,False,1
190,2,0.7141334408081224,134,3,0,1.7665630704369957,1415,False,True,False,False,False,False,False,True,False,True,False,1
191,2,1.4215777095146467,130,3,1,0.16209924295117825,1092,False,False,True,False,False,False,False,True,False,True,False,1
192,2,1.4215777095146467,133,3,0,3.0007660146568553,1596,False,False,False,False,True,False,False,True,False,True,False,1
193,2,0.7141334408081224,140,3,0,-0.3932920819477586,1411,False,False,False,True,False,False,False,True,False,True,False,1
194,2,-0.7007550966049262,158,3,1,0.9026210094830941,1968,False,False,False,False,True,False,False,True,False,True,False,1
195,4,-0.7007550966049262,270,4,0,2.0134036592809674,1736,True,False,False,False,False,False,False,True,False,True,False,1
196,2,1.4215777095146467,140,3,0,1.02604130390508,1030,False,True,False,False,False,False,False,True,False,True,False,1
197,2,-0.7007550966049262,135,3,1,0.10038909574018526,1339,False,False,True,False,False,False,False,True,False,True,False,1
198,2,0.006689172101598107,136,3,0,0.3472296845841572,1568,False,False,False,False,True,False,False,True,False,True,False,1
199,2,0.006689172101598107,142,3,0,1.5197224815930237,7640,False,False,False,True,False,False,False,True,False,False,True,1
200,2,-0.7007550966049262,154,3,1,1.5197224815930237,7846,False,False,False,False,True,False,False,True,False,False,True,1
201,2,0.006689172101598107,139,3,1,-0.2698717875257726,1471,True,False,False,False,False,False,False,True,False,True,False,1
202,2,0.006689172101598107,160,3,0,1.8282732176479888,1251,False,True,False,False,False,False,False,True,False,True,False,1
203,2,0.7141334408081224,134,3,1,2.7539254258128834,1067,False,False,True,False,False,False,False,True,False,True,False,1
204,5,0.006689172101598107,161,5,1,2.1368239537029536,1883,False,False,False,False,True,False,False,True,True,False,False,1
205,2,1.4215777095146467,155,3,1,0.5940702734281291,1602,False,False,False,True,False,False,False,True,False,True,False,1
206,2,0.006689172101598107,145,3,0,0.6557804206391221,7588,False,False,False,False,True,False,False,True,False,False,True,1
207,2,-0.7007550966049262,157,3,1,-0.7635529652137165,1477,True,False,False,False,False,False,False,True,False,True,False,1
208,2,-0.7007550966049262,160,3,1,2.1368239537029536,1691,False,True,False,False,False,False,False,True,False,True,False,1
209,2,0.7141334408081224,152,3,1,2.5687949841799047,1498,False,False,True,False,False,False,False,True,False,True,False,1
210,2,1.4215777095146467,148,3,0,-0.14645149310378666,1502,False,False,False,False,True,False,False,True,True,False,False,1
211,2,-1.4081993653114504,127,3,0,0.10038909574018526,1522,False,False,False,True,False,False,False,True,False,True,False,1
212,2,1.4215777095146467,154,3,0,0.47064997900614314,1113,False,False,False,False,True,False,False,True,False,True,False,1
213,2,1.4215777095146467,127,3,1,1.8899833648589817,1341,True,False,False,False,False,False,False,True,False,True,False,1
214,2,1.4215777095146467,160,3,0,1.0877514511160729,7401,False,True,False,False,False,False,False,True,False,False,True,1
215,2,0.7141334408081224,129,3,0,2.1368239537029536,1219,False,False,True,False,False,False,False,True,False,True,False,1
216,2,1.4215777095146467,158,3,0,1.6431427760150097,1722,False,False,False,False,True,False,False,True,False,True,False,1
217,4,0.006689172101598107,185,3,1,-0.6401326707917305,3131,False,False,False,True,False,False,False,True,False,False,True,1
218,4,0.7141334408081224,176,4,0,3.062476161867848,1293,False,False,False,False,True,False,False,True,True,False,False,1
219,3,0.7141334408081224,148,3,1,1.4580123343820308,1523,True,False,False,False,False,False,False,True,False,True,False,1
220,3,1.4215777095146467,270,3,1,2.8773457202348696,3885,False,True,False,False,False,False,False,True,False,True,False,1
221,3,0.7141334408081224,242,3,1,0.964331156694087,2381,False,False,True,False,False,False,False,True,False,True,False,1
222,4,0.006689172101598107,150,2,1,1.0877514511160729,1588,False,False,False,False,True,False,False,True,False,False,True,1
223,4,-0.7007550966049262,192,3,1,-0.5784225235807375,2061,False,False,False,True,False,False,False,True,True,False,False,1
224,4,1.4215777095146467,116,3,0,-0.2698717875257726,1314,False,False,False,False,True,False,False,True,False,False,True,1
225,3,0.7141334408081224,192,3,0,1.0877514511160729,3331,True,False,False,False,False,False,False,True,False,False,True,1
226,5,0.7141334408081224,255,4,0,1.5197224815930237,2771,False,True,False,False,False,False,False,True,False,False,True,1
227,4,0.006689172101598107,161,7,1,3.062476161867848,1496,False,False,True,False,False,False,False,True,False,False,True,1
228,4,-0.7007550966049262,157,3,0,2.1368239537029536,1393,False,False,False,False,True,False,False,True,False,True,False,1
229,3,-0.7007550966049262,164,10,1,0.03867894852919228,1375,False,False,False,True,False,False,False,True,True,False,False,1
230,3,0.006689172101598107,162,7,0,1.7665630704369957,1278,False,False,False,False,True,False,False,True,False,False,True,1
231,3,-1.4081993653114504,146,2,0,2.5070848369689114,1528,True,False,False,False,False,False,False,True,False,True,False,1
232,3,0.7141334408081224,209,3,0,2.8773457202348696,2240,False,True,False,False,False,False,False,True,False,False,True,1
233,5,1.4215777095146467,134,2,1,2.4453746897579185,1088,False,False,True,False,False,False,False,True,False,False,True,1
234,2,-1.4081993653114504,222,2,1,2.7539254258128834,3626,False,False,False,False,True,False,False,True,False,False,True,1
235,2,-1.4081993653114504,139,3,0,1.5814326288040168,1582,False,False,False,True,False,False,False,True,False,True,False,1
236,2,-0.7007550966049262,134,3,1,1.5197224815930237,1352,False,False,False,False,True,False,False,True,False,True,False,1
237,2,0.006689172101598107,130,3,0,2.1368239537029536,1801,True,False,False,False,False,False,False,True,False,True,False,1
238,2,-0.7007550966049262,133,3,1,-0.5167123763697445,1268,False,True,False,False,False,False,False,True,False,True,False,1
239,2,0.006689172101598107,140,3,0,0.5940702734281291,1372,False,False,True,False,False,False,False,True,False,True,False,1
240,2,0.006689172101598107,158,3,1,-0.20816164031477966,1515,False,False,False,False,True,False,False,True,False,True,False,1
241,4,1.4215777095146467,270,4,1,3.1858964562898344,1818,False,False,False,True,False,False,False,True,False,True,False,1
242,2,0.7141334408081224,140,3,0,1.2111717455380588,1278,False,False,False,False,True,False,False,True,False,True,False,1
243,2,-0.7007550966049262,135,3,1,2.7539254258128834,1734,True,False,False,False,False,False,False,True,False,True,False,1
244,2,0.7141334408081224,136,3,1,1.8282732176479888,1958,False,True,False,False,False,False,False,True,False,True,False,1
245,2,-1.4081993653114504,142,3,0,-0.3315819347367656,6064,False,False,True,False,False,False,False,True,False,False,True,1
